This word frequency data is taken from the one billion word Corpus of Contemporary American English (COCA; www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.

Explanations of the four lists and additional sample data (every tenth word, 1-60,000) can be found at https://www.wordfrequency.info/samples.asp. For a complete explanation of the columns in each list, see https://www.wordfrequency.info/files.asp

If you re-post the list on the web, you must clearly indicate www.wordfrequency.info as the source of the data. Automated queries run every night to find copies of the data that do not follow these guidelines, and you will be forced to remove those copies from your website.

rank	lemma	PoS	freq
1349	sure	r	70758
1350	earn	v	70697
1351	plane	n	70679
1352	vehicle	n	70662
1353	examine	v	70501
1354	application	n	70441
1355	thousand	n	70404
1356	coffee	n	70366
1357	gain	v	70275
1358	result	v	70269
1359	file	n	70059
1360	billion	m	70048
1361	reform	n	70010
1362	ignore	v	70007
1363	welcome	v	69914
1364	gold	n	69903
1365	jump	v	69861
1366	planet	n	69822
1367	location	n	69669
1368	bird	n	69662
1369	amazing	j	69525
1370	principle	n	69403
1371	promote	v	69398
1372	search	n	69392
1373	nine	m	69389
1374	alive	j	69360
1375	possibility	n	69316
1376	sky	n	69285
1377	otherwise	r	69243
1378	remind	v	69182
1379	healthy	j	69023
1380	fit	v	68996
1381	horse	n	68883
1382	advantage	n	68866
1383	commercial	j	68821
1384	steal	v	68807
1385	basis	n	68758
1386	context	n	68668
1387	highly	r	68586
1388	christmas	n	68542
1389	strength	n	68537
1390	move	n	68522
1391	monday	n	68488
1392	mean	n	68411
1393	alone	j	68401
1394	beach	n	68303
1395	survey	n	68301
1396	writing	n	68200
1397	master	n	68182
1398	cry	v	68161
1399	scale	n	68139
1400	resident	n	68096
1401	football	n	68073
1402	sweet	j	67903
1403	failure	n	67885
1404	reporter	n	67831
1405	commit	v	67792
1406	fight	n	67767
1407	one	n	67755
1408	associate	v	67750
1409	vision	n	67714
1410	function	n	67710
1411	truly	r	67680
1412	sick	j	67645
1413	average	j	67618
1414	human	n	67605
1415	stupid	j	67597
1416	will	n	67581
1417	chinese	j	67573
1418	connection	n	67550
1419	camp	n	67510
1420	stone	n	67456
1421	hundred	n	67455
1422	key	n	67404
1423	truck	n	67403
1424	afternoon	n	67378
1425	responsible	j	67329
1426	secretary	n	67325
1427	apparently	r	67248
1428	smart	j	67232
1429	southern	j	67179
1430	totally	r	67117
1431	western	j	67085
1432	collect	v	67062
1433	conflict	n	67061
1434	burn	v	66886
1435	learning	n	66879
1436	wake	v	66773
1437	contribute	v	66772
1438	ride	v	66723
1439	british	j	66700
1440	following	j	66684
1441	order	v	66657
1442	share	n	66642
1443	newspaper	n	66598
1444	foundation	n	66578
1445	variety	n	66555
1446	perspective	n	66540
1447	document	n	66467
1448	presence	n	66412
1449	stare	v	66392
1450	lesson	n	66252
1451	limit	v	66220
1452	appreciate	v	66216
1453	complete	j	66198
1454	observe	v	66197
1455	currently	r	66051
1456	hundred	m	66002
1457	fun	j	65982
1458	crowd	n	65965
1459	attack	v	65959
1460	apartment	n	65884
1461	survive	v	65838
1462	guest	n	65818
1463	soul	n	65749
1464	protection	n	65690
1465	intelligence	n	65687
1466	yesterday	r	65635
1467	somewhere	r	65620
1468	border	n	65422
1469	reading	n	65417
1470	terms	i	65413
1471	leadership	n	65396
1472	present	j	65336
1473	chief	n	65311
1474	attitude	n	65288
1475	start	n	65218
1476	um	u	65033
1477	deny	v	64887
1478	website	n	64875
1479	seriously	r	64827
1480	actual	j	64818
1481	recall	v	64789
1482	fix	v	64728
1483	negative	j	64601
1484	connect	v	64462
1485	distance	n	64404
1486	regular	j	64293
1487	climate	n	64223
1488	relation	n	64199
1489	flight	n	64148
1490	dangerous	j	64067
1491	boat	n	64026
1492	aspect	n	63967
1493	grab	v	63946
1494	until	i	63882
1495	favorite	j	63804
1496	like	r	63748
1497	january	n	63714
1498	independent	j	63631
1499	volume	n	63626
1500	am	r	63615
1501	lots	p	63604
1502	front	j	63594
1503	online	j	63564
1504	theater	n	63549
1505	speed	n	63502
1506	aware	j	63488
1507	identity	n	63440
1508	demand	n	63402
1509	extra	j	63392
1510	charge	v	63379
1511	guard	n	63290
1512	demonstrate	v	63269
1513	fully	r	63238
1514	tuesday	n	63179
1515	facility	n	63117
1516	farm	n	62942
1517	mind	v	62869
1518	fun	n	62839
1519	thousand	m	62833
1520	august	n	62821
1521	hire	v	62794
1522	light	j	62687
1523	link	n	62629
1524	shoe	n	62523
1525	institute	n	62451
1526	below	r	62313
1527	living	n	62299
1528	european	j	62156
1529	quarter	n	62138
1530	basically	r	62046
1531	forest	n	61942
1532	multiple	j	61694
1533	poll	n	61677
1534	wild	j	61605
1535	measure	v	61601
1536	twice	r	61563
1537	cross	v	61522
1538	background	n	61431
1539	settle	v	61424
1540	winter	n	61394
1541	focus	n	61392
1542	presidential	j	61351
1543	operate	v	61296
1544	fuck	v	61292
1545	view	v	61111
1546	daily	j	61083
1547	shop	n	61038
1548	above	r	61018
1549	division	n	60892
1550	slowly	r	60889
1551	advice	n	60861
1552	reaction	n	60811
1553	injury	n	60769
1554	it	n	60763
1555	ticket	n	60721
1556	grade	n	60710
1557	wow	u	60702
1558	birth	n	60673
1559	painting	n	60548
1560	outcome	n	60498
1561	enemy	n	60473
1562	damage	n	60384
1563	being	n	60354
1564	storm	n	60280
1565	shape	n	60252
1566	bowl	n	60234
1567	commission	n	60218
1568	captain	n	60187
1569	ear	n	60160
1570	troop	n	60133
1571	female	j	60116
1572	wood	n	60115
1573	warm	j	60062
1574	clean	j	60059
1575	lead	n	59773
1576	minister	n	59752
1577	neighbor	n	59746
1578	tiny	j	59714
1579	mental	j	59701
1580	software	n	59696
1581	glad	j	59681
1582	finding	n	59632
1583	lord	n	59563
1584	drive	n	59524
1585	temperature	n	59493
1586	quiet	j	59485
1587	spread	v	59483
1588	bright	j	59449
1589	cut	n	59434
1590	influence	n	59350
1591	kick	v	59307
1592	annual	j	59301
1593	procedure	n	59288
1594	respect	n	59226
1595	wave	n	59169
1596	tradition	n	59099
1597	threaten	v	59034
1598	primary	j	58990
1599	strange	j	58863
1600	actor	n	58856
1601	blame	v	58815
1602	active	j	58801
1603	cat	n	58763
1604	depend	v	58725
1605	bus	n	58707
1606	clothes	n	58660
1607	affair	n	58553
1608	contact	n	58518
1609	category	n	58470
1610	topic	n	58410
1611	victory	n	58342
1612	direct	j	58289
1613	towards	i	58251
1614	map	n	58218
1615	egg	n	58198
1616	ensure	v	58156
1617	general	n	58129
1618	expression	n	58120
1619	past	i	58119
1620	session	n	58108
1621	competition	n	58102
1622	possibly	r	58071
1623	technique	n	58028
1624	mine	p	58009
1625	average	n	57985
1626	intend	v	57970
1627	impossible	j	57892
1628	moral	j	57787
1629	academic	j	57717
1630	wine	n	57614
1631	approach	v	57607
1632	somehow	r	57596
1633	gather	v	57562
1634	scientific	j	57547
1635	african	j	57497
1636	cook	v	57383
1637	participate	v	57361
1638	gay	j	57195
1639	appropriate	j	57163
1640	youth	n	57132
1641	dress	v	56967
1642	straight	r	56942
1643	weather	n	56939
1644	recommend	v	56938
1645	medicine	n	56814
1646	novel	n	56709
1647	obvious	j	56696
1648	thursday	n	56611
1649	exchange	n	56534
1650	explore	v	56474
1651	extend	v	56458
1652	bay	n	56420
1653	invite	v	56415
1654	tie	v	56394
1655	ah	u	56374
1656	belong	v	56342
1657	obtain	v	56312
1658	broad	j	56310
1659	conclusion	n	56296
1660	progress	n	56162
1661	surprise	n	56116
1662	assessment	n	55956
1663	smile	n	55936
1664	feature	v	55868
1665	cash	n	55856
1666	defend	v	55825
1667	pound	n	55670
1668	correct	j	55632
1669	married	j	55629
1670	pair	n	55530
1671	slightly	r	55389
1672	loan	n	55348
1673	village	n	55217
1674	half	n	55207
1675	suit	n	55200
1676	demand	v	55168
1677	historical	j	55028
1678	meaning	n	55014
1679	attempt	v	54992
1680	supply	n	54988
1681	lift	v	54954
1682	ourselves	p	54951
1683	honey	n	54912
1684	bone	n	54911
1685	consequence	n	54883
1686	unique	j	54827
1687	next	i	54768
1688	regulation	n	54726
1689	award	n	54712
1690	bottom	n	54701
1691	excuse	v	54672
1692	familiar	j	54651
1693	classroom	n	54542
1694	search	v	54487
1695	reference	n	54390
1696	emerge	v	54379
1697	long	c	54354
1698	lunch	n	54300
1699	judge	v	54271
1700	ad	n	54265
1701	desire	n	54265
1702	instruction	n	54207
1703	emergency	n	54204
1704	thinking	n	54200
1705	tour	n	54157
1706	french	j	54133
1707	combine	v	54133
1708	moon	n	54069
1709	sad	j	54041
1710	address	n	54018
1711	december	n	53957
1712	anywhere	r	53945
1713	chicken	n	53916
1714	fuel	n	53882
1715	train	v	53865
1716	abuse	n	53777
1717	construction	n	53745
1718	wednesday	n	53706
1719	link	v	53674
1720	deserve	v	53654
1721	famous	j	53575
1722	intervention	n	53351
1723	grand	j	53325
1724	visit	n	53262
1725	confirm	v	53256
1726	lucky	j	53231
1727	insist	v	53141
1728	coast	n	53114
1729	proud	j	53067
1730	cover	n	53057
1731	fourth	m	53036
1732	cop	n	52982
1733	angry	j	52980
1734	native	j	52950
1735	supreme	j	52933
1736	baseball	n	52864
1737	but	i	52830
1738	email	n	52826
1739	accident	n	52784
1740	front	n	52764
1741	duty	n	52673
1742	growing	j	52661
1743	struggle	v	52598
1744	revenue	n	52579
1745	expand	v	52529
1746	chief	j	52508
1747	launch	v	52479
1748	trend	n	52452
1749	ring	n	52405
1750	repeat	v	52290
1751	breath	n	52280
1752	inch	n	52275
1753	neck	n	52214
1754	core	n	52195
1755	terrible	j	52179
1756	billion	n	52087
1757	relatively	r	52070
1758	complex	j	51957
1759	press	v	51939
1760	miss	n	51928
1761	slow	j	51880
1762	soft	j	51824
1763	generate	v	51796
1764	extremely	r	51789
1765	last	v	51774
1766	drink	n	51766
1767	forever	r	51747
1768	corporate	j	51712
1769	deep	r	51692
1770	prefer	v	51684
1771	except	c	51607
1772	cheap	j	51588
1773	literature	n	51523
1774	direct	v	51486
1775	mayor	n	51481
1776	male	j	51453
1777	importance	n	51419
1778	record	v	51375
1779	danger	n	51331
1780	emotional	j	51327
1781	knee	n	51298
1782	ass	n	51238
1783	capture	v	51215
1784	traffic	n	51138
1785	fucking	j	51076
1786	outside	r	51030
1787	now	c	50991
1788	train	n	50975
1789	plate	n	50934
1790	equipment	n	50894
1791	select	v	50804
1792	file	v	50771
1793	studio	n	50758
1794	expensive	j	50744
1795	secret	n	50730
1796	engine	n	50724
1797	adopt	v	50605
1798	luck	n	50589
1799	via	i	50560
1800	pm	r	50551
1801	panel	n	50544
1802	hero	n	50520
1803	circle	n	50510
1804	critic	n	50462
1805	solve	v	50437
1806	busy	j	50363
1807	episode	n	50354
1808	back	v	50340
1809	check	n	50298
1810	requirement	n	50272
1811	politician	n	50171
1812	rain	n	50093
1813	colleague	n	50084
1814	disappear	v	50053
1815	beer	n	50024
1816	predict	v	50013
1817	exercise	n	49985
1818	tired	j	49972
1819	democracy	n	49951
1820	ultimately	r	49899
1821	setting	n	49873
1822	honor	n	49871
1823	works	n	49867
1824	unfortunately	r	49863
1825	theme	n	49821
1826	issue	v	49792
1827	male	n	49791
1828	clean	v	49764
1829	united	j	49746
1830	pool	n	49670
1831	educational	j	49636
1832	empty	j	49565
1833	comfortable	j	49532
1834	investigate	v	49473
1835	useful	j	49468
1836	pocket	n	49462
1837	digital	j	49461
1838	plenty	p	49361
1839	entirely	r	49352
1840	fear	v	49288
1841	afford	v	49246
1842	sugar	n	49230
1843	teaching	n	49167
1844	conservative	j	49144
1845	chairman	n	49123
1846	error	n	49042
1847	bridge	n	49030
1848	tall	j	48978
1849	specifically	r	48927
1850	flower	n	48912
1851	though	r	48909
1852	universe	n	48854
1853	live	j	48836
1854	acknowledge	v	48811
1855	limit	n	48738
1856	coverage	n	48693
1857	crew	n	48673
1858	locate	v	48581
1859	balance	n	48537
1860	equal	j	48522
1861	lip	n	48507
1862	lean	v	48484
1863	zone	n	48403
1864	wedding	n	48365
1865	copy	n	48365
1866	score	v	48316
1867	joke	n	48299
1868	used	j	48287
1869	clear	v	48273
1870	bear	v	48272
1871	meal	n	48158
1872	review	v	48123
1873	minority	n	48052
1874	sight	n	48022
1875	sleep	n	48020
1876	russian	j	48001
1877	dress	n	47994
1878	release	n	47967
1879	soviet	j	47917
1880	profit	n	47886
1881	challenge	v	47854
1882	careful	j	47847
1883	gender	n	47825
1884	tape	n	47805
1885	ocean	n	47773
1886	unidentified	j	47748
1887	host	n	47739
1888	grant	v	47729
1889	circumstance	n	47687
1890	late	r	47682
1891	boss	n	47643
1892	declare	v	47594
1893	domestic	j	47518
1894	tea	n	47503
1895	organize	v	47499
1896	english	j	47464
1897	neither	r	47463
1898	either	d	47446
1899	official	j	47368
1900	surround	v	47314
1901	manner	n	47282
1902	surprised	j	47267
1903	percentage	n	47208
1904	massive	j	47167
1905	cloud	n	47140
1906	winner	n	47124
1907	honest	j	47105
1908	standard	j	47085
1909	propose	v	47044
1910	rely	v	47026
1911	plus	i	46937
1912	sentence	n	46932
1913	request	n	46865
1914	appearance	n	46855
1915	regarding	i	46854
1916	excellent	j	46847
1917	criminal	j	46839
1918	salt	n	46825
1919	beauty	n	46819
1920	bottle	n	46801
1921	component	n	46800
1922	under	r	46799
1923	fee	n	46768
1924	jewish	j	46702
1925	yours	p	46632
1926	dry	j	46604
1927	dance	n	46601
1928	shirt	n	46579
1929	tip	n	46537
1930	plastic	n	46455
1931	indian	j	46454
1932	mark	v	46427
1933	tooth	n	46405
1934	meat	n	46401
1935	stress	n	46396
1936	illegal	j	46386
1937	significantly	r	46378
1938	february	n	46378
1939	constitution	n	46355
1940	definition	n	46347
1941	uncle	n	46291
1942	metal	n	46260
1943	album	n	46247
1944	self	n	46225
1945	suppose	v	46217
1946	investor	n	46202
1947	fruit	n	46189
1948	holy	j	46164
1949	desk	n	46133
1950	eastern	j	46071
1951	valley	n	46050
1952	largely	r	46002
1953	abortion	n	45934
1954	chapter	n	45911
1955	commitment	n	45809
1956	celebrate	v	45778
1957	arrest	v	45707
1958	dance	v	45680
1959	prime	j	45667
1960	urban	j	45632
1961	internal	j	45614
1962	bother	v	45596
1963	proposal	n	45546
1964	shift	v	45537
1965	capacity	n	45515
1966	guilty	j	45494
1967	warn	v	45485
1968	influence	v	45471
1969	weak	j	45461
1970	except	i	45458
1971	catholic	j	45444
1972	nose	n	45433
1973	variable	n	45399
1974	convention	n	45389
1975	jury	n	45342
1976	root	n	45327
1977	incident	n	45300
1978	climb	v	45263
1979	hearing	n	45235
1980	everywhere	r	45191
1981	payment	n	45132
1982	bear	n	45125
1983	conclude	v	45116
1984	scream	v	45103
1985	surgery	n	45042
1986	shadow	n	45022
1987	witness	n	44979
1988	increasingly	r	44978
1989	chest	n	44918
1990	amendment	n	44879
1991	paint	v	44842
1992	secret	j	44837
1993	complain	v	44829
1994	extent	n	44804
1995	pleasure	n	44800
1996	nod	v	44778
1997	holiday	n	44775
1998	super	j	44696
1999	talent	n	44687
2000	necessarily	r	44682
2001	liberal	j	44658
2002	expectation	n	44646
2003	ride	n	44508
2004	accuse	v	44491
2005	knock	v	44485
2006	previously	r	44480
2007	wing	n	44427
2008	corporation	n	44407
2009	sector	n	44401
2010	fat	n	44341
2011	experiment	n	44341
2012	match	v	44314
2013	thin	j	44274
2014	farmer	n	44255
2015	rare	j	44243
2016	english	n	44219
2017	confidence	n	44154
2018	bunch	n	43989
2019	bet	v	43896
2020	cite	v	43809
2021	northern	j	43805
2022	speaker	n	43781
2023	breast	n	43780
2024	contribution	n	43738
2025	leaf	n	43674
2026	creative	j	43673
2027	interaction	n	43639
2028	hat	n	43629
2029	doubt	n	43620
2030	promise	n	43606
2031	pursue	v	43595
2032	overall	j	43582
2033	nurse	n	43524
2034	question	v	43506
2035	long-term	j	43471
2036	gene	n	43463
2037	package	n	43448
2038	weird	j	43433
2039	difficulty	n	43423
2040	hardly	r	43416
2041	daddy	n	43376
2042	estimate	v	43344
2043	list	v	43341
2044	era	n	43331
2045	comment	v	43256
2046	aid	n	43250
2047	vs	i	43241
2048	invest	v	43235
2049	personally	r	43235
2050	notion	n	43225
2051	explanation	n	43197
2052	airport	n	43177
2053	chain	n	43156
2054	expose	v	43119
2055	lock	v	43093
2056	convince	v	43085
2057	channel	n	43041
2058	carefully	r	43034
2059	tear	n	43024
2060	estate	n	43023
2061	initial	j	42971
2062	offer	n	42944
2063	purchase	v	42921
2064	guide	n	42871
2065	forth	r	42832
2066	his	p	42776
2067	bond	n	42742
2068	birthday	n	42727
2069	travel	n	42709
2070	pray	v	42700
2071	improvement	n	42657
2072	ancient	j	42623
2073	ought	v	42597
2074	escape	v	42473
2075	trail	n	42439
2076	brown	j	42423
2077	fashion	n	42405
2078	length	n	42379
2079	sheet	n	42366
2080	funding	n	42356
2081	meanwhile	r	42307
2082	fault	n	42283
2083	barely	r	42258
2084	eliminate	v	42246
2085	motion	n	42232
2086	essential	j	42222
2087	apart	r	42168
2088	combination	n	42138
2089	limited	j	42129
2090	description	n	42091
2091	mix	v	42079
2092	snow	n	42027
2093	implement	v	42004
2094	pretty	j	41937
2095	proper	j	41810
2096	part	r	41783
2097	marketing	n	41781
2098	approve	v	41740
2099	other	i	41717
2100	bomb	n	41679
2101	slip	v	41664
2102	regional	j	41656
2103	lack	v	41652
2104	muscle	n	41650
2105	contact	v	41609
2106	rise	n	41609
2107	FALSE	j	41580
2108	likely	r	41540
2109	creation	n	41523
2110	typically	r	41485
2111	spending	n	41483
2112	instrument	n	41473
2113	mass	n	41453
2114	far	c	41427
2115	thick	j	41420
2116	kiss	v	41405
2117	increased	j	41356
2118	inspire	v	41223
2119	separate	j	41176
2120	noise	n	41144
2121	yellow	j	41133
2122	aim	v	41126
2123	e-mail	n	41092
2124	cycle	n	41088
2125	signal	n	41085
2126	app	n	41082
2127	golden	j	41056
2128	reject	v	41033
2129	inform	v	41031
2130	perception	n	41010
2131	visitor	n	41006
2132	cast	v	41004
2133	contrast	n	40982
2134	judgment	n	40961
2135	mean	j	40927
2136	rest	v	40908
2137	representative	n	40894
2138	pass	n	40865
2139	regime	n	40863
2140	merely	r	40843
2141	producer	n	40843
2142	whoa	u	40833
2143	route	n	40816
2144	lie	n	40794
2145	typical	j	40785
2146	analyst	n	40785
2147	account	v	40739
2148	elect	v	40738
2149	smell	v	40735
2150	female	n	40661
2151	living	j	40560
2152	disability	n	40559
2153	comparison	n	40525
2154	hand	v	40469
2155	rating	n	40458
2156	campus	n	40453
2157	assess	v	40352
2158	solid	j	40301
2159	branch	n	40300
2160	mad	j	40286
2161	somewhat	r	40283
2162	gentleman	n	40277
2163	opposition	n	40268
2164	fast	j	40261
2165	suspect	v	40173
2166	land	v	40144
2167	hit	n	40121
2168	aside	r	40119
2169	athlete	n	40094
2170	opening	n	40053
2171	prayer	n	40037
2172	frequently	r	40035
2173	employ	v	40014
2174	basketball	n	40007
2175	existing	j	39974
2176	revolution	n	39959
2177	click	v	39951
2178	emotion	n	39949
2179	fuck	n	39924
2180	platform	n	39915
2181	behind	r	39874
2182	frame	n	39817
2183	appeal	n	39798
2184	quote	v	39780
2185	potential	n	39779
2186	struggle	n	39777
2187	brand	n	39754
2188	enable	v	39743
2189	legislation	n	39690
2190	addition	i	39685
2191	lab	n	39668
2192	oppose	v	39656
2193	row	n	39635
2194	immigration	n	39570
2195	asset	n	39563
2196	observation	n	39551
2197	online	r	39528
2198	taste	n	39481
2199	decline	v	39480
2200	attract	v	39479
2201	ha	u	39473
2202	for	c	39453
2203	household	n	39430
2204	separate	v	39416
2205	breathe	v	39322
2206	existence	n	39315
2207	mirror	n	39284
2208	pilot	n	39272
2209	stand	n	39230
2210	relief	n	39223
2211	milk	n	39204
2212	warning	n	39194
2213	heaven	n	39105
2214	flow	n	39098
2215	literally	r	39094
2216	quit	v	39091
2217	calorie	n	39066
2218	seed	n	39062
2219	vast	j	38988
2220	bike	n	38920
2221	german	j	38898
2222	employer	n	38895
2223	drag	v	38895
2224	technical	j	38887
2225	disaster	n	38801
2226	display	v	38757
2227	sale	n	38751
2228	bathroom	n	38712
2229	succeed	v	38621
2230	consistent	j	38618
2231	agenda	n	38615
2232	enforcement	n	38612
2233	diet	n	38595
2234	mark	n	38593
2235	silence	n	38552
2236	journalist	n	38495
2237	bible	n	38492
2238	queen	n	38445
2239	divide	v	38426
2240	expense	n	38330
2241	cream	n	38234
2242	exposure	n	38231
2243	priority	n	38168
2244	soil	n	38159
2245	angel	n	38155
2246	journey	n	38098
2247	trust	n	38062
2248	relevant	j	38034
2249	tank	n	38032
2250	cheese	n	38025
2251	schedule	n	38022
2252	bedroom	n	37979
2253	tone	n	37956
2254	selection	n	37940
2255	date	v	37929
2256	perfectly	r	37923
2257	wheel	n	37921
2258	gap	n	37884
2259	veteran	n	37880
2260	below	i	37877
2261	disagree	v	37874
2262	characteristic	n	37848
2263	protein	n	37846
2264	resolution	n	37841
2265	whole	n	37840
2266	regard	v	37839
2267	fewer	d	37775
2268	engineer	n	37679
2269	walk	n	37624
2270	dish	n	37580
2271	waste	n	37529
2272	print	n	37504
2273	depression	n	37492
2274	dude	n	37467
2275	fat	j	37455
2276	present	n	37433
2277	upper	j	37419
2278	wrap	v	37396
2279	ceo	n	37374
2280	visual	j	37347
2281	initiative	n	37346
2282	rush	v	37327
2283	gate	n	37317
2284	slow	v	37312
2285	whenever	r	37287
2286	entry	n	37187
2287	japanese	j	37170
2288	gray	j	37161
2289	assistance	n	37154
2290	height	n	37131
2291	compete	v	37112
2292	rule	v	37088
2293	due	j	37060
2294	essentially	r	37053
2295	benefit	v	37025
2296	phase	n	37013
2297	conservative	n	36998
2298	recover	v	36947
2299	criticism	n	36941
2300	faculty	n	36906
2301	achievement	n	36879
2302	alcohol	n	36823
2303	therapy	n	36823
2304	offense	n	36790
2305	touch	n	36766
2306	killer	n	36754
2307	personality	n	36750
2308	landscape	n	36719
2309	deeply	r	36653
2310	reasonable	j	36622
2311	soon	c	36611
2312	suck	v	36572
2313	transition	n	36569
2314	fairly	r	36548
2315	column	n	36526
2316	wash	v	36491
2317	button	n	36451
2318	opponent	n	36412
2319	pour	v	36412
2320	immigrant	n	36379
2321	first	r	36365
2322	distribution	n	36338
2323	golf	n	36327
2324	pregnant	j	36303
2325	unable	j	36300
2326	alternative	n	36296
2327	favorite	n	36231
2328	stop	n	36214
2329	violent	j	36167
2330	portion	n	36150
2331	acquire	v	36094
2332	suicide	n	36059
2333	stretch	v	36058
2334	deficit	n	36029
2335	symptom	n	36021
2336	solar	j	35987
2337	complaint	n	35954
2338	capable	j	35954
2339	analyze	v	35948
2340	scared	j	35867
2341	supporter	n	35863
2342	dig	v	35841
2343	twenty	m	35825
2344	pretend	v	35824
2345	philosophy	n	35824
2346	childhood	n	35815
2347	lower	v	35791
2348	well	n	35789
2349	outside	j	35738
2350	dark	n	35705
2351	wealth	n	35662
2352	welfare	n	35639
2353	poverty	n	35629
2354	prosecutor	n	35613
2355	spiritual	j	35599
2356	double	j	35592
2357	evaluate	v	35577
2358	mass	j	35566
2359	israeli	j	35547
2360	shift	n	35516
2361	reply	v	35489
2362	buck	n	35423
2363	display	n	35418
2364	knife	n	35408
2365	round	n	35407
2366	tech	n	35394
2367	detective	n	35355
2368	pack	v	35348
2369	disorder	n	35345
2370	creature	n	35342
2371	tear	v	35320
2372	closely	r	35294
2373	industrial	j	35272
2374	housing	n	35224
2375	watch	n	35203
2376	chip	n	35203
2377	regardless	r	35166
2378	numerous	j	35164
2379	tie	n	35058
2380	range	v	35010
2381	command	n	35010
2382	shooting	n	34970
2383	dozen	m	34950
2384	pop	v	34932
2385	layer	n	34911
2386	bread	n	34840
2387	exception	n	34835
2388	passion	n	34825
2389	block	v	34808
2390	highway	n	34789
2391	pure	j	34741
2392	commander	n	34731
2393	extreme	j	34678
2394	publication	n	34656
2395	vice	j	34652
2396	fellow	j	34637
2397	win	n	34613
2398	mystery	n	34553
2399	championship	n	34425
2400	install	v	34402
2401	tale	n	34400
2402	liberty	n	34393
2403	host	v	34350
2404	beneath	i	34337
2405	passenger	n	34335
2406	physician	n	34292
2407	graduate	n	34285
2408	sharp	j	34272
2409	substance	n	34262
2410	atmosphere	n	34247
2411	stir	v	34231
2412	muslim	j	34226
2413	passage	n	34197
2414	pepper	n	34195
2415	emphasize	v	34190
2416	cable	n	34164
2417	square	n	34163
2418	recipe	n	34098
2419	load	v	34026
2420	beside	i	34005
2421	roof	n	34005
2422	vegetable	n	34000
2423	accomplish	v	33992
2424	silent	j	33973
2425	habit	n	33933
2426	discovery	n	33930
2427	total	n	33836
2428	recovery	n	33830
2429	dna	n	33819
2430	gain	n	33808
2431	territory	n	33787
2432	girlfriend	n	33779
2433	consist	v	33777
2434	straight	j	33764
2435	surely	r	33758
2436	proof	n	33755
2437	nervous	j	33745
2438	immediate	j	33745
2439	parking	n	33735
2440	sin	n	33703
2441	unusual	j	33695
2442	rice	n	33676
2443	engineering	n	33630
2444	advance	n	33626
2445	interview	v	33551
2446	bury	v	33531
2447	still	j	33525
2448	cake	n	33519
2449	anonymous	j	33517
2450	flag	n	33516
2451	contemporary	j	33482
2452	good	n	33457
2453	jail	n	33453
2454	rural	j	33383
2455	match	n	33368
2456	coach	v	33363
2457	interpretation	n	33342
2458	wage	n	33339
2459	breakfast	n	33309
2460	severe	j	33278
2461	profile	n	33259
2462	saving	n	33236
2463	brief	j	33229
2464	adjust	v	33205
2465	reduction	n	33167
2466	constantly	r	33167
2467	assist	v	33161
2468	bitch	n	33157
2469	constant	j	33090
2470	permit	v	33083
2471	primarily	r	33079
2472	entertainment	n	33057
2473	shout	v	33053
2474	academy	n	33028
2475	teaspoon	n	33027
2476	dream	v	33013
2477	transfer	v	33009
2478	usual	j	32997
2479	ally	n	32994
2480	clinical	j	32983
2481	count	n	32971
2482	swear	v	32971
2483	avenue	n	32968
2484	priest	n	32965
2485	employment	n	32957
2486	waste	v	32952
2487	relax	v	32948
2488	owe	v	32943
2489	transform	v	32910
2490	grass	n	32880
2491	narrow	j	32874
2492	ethnic	j	32857
2493	scholar	n	32846
2494	edition	n	32842
2495	abandon	v	32838
2496	practical	j	32834
2497	infection	n	32785
2498	musical	j	32775
2499	suggestion	n	32775
2500	resistance	n	32768
2501	smoke	v	32716
2502	prince	n	32712
2503	illness	n	32704
2504	embrace	v	32690
2505	trade	v	32679
2506	republic	n	32646
2507	volunteer	n	32631
2508	target	v	32627
2509	general	r	32547
2510	evaluation	n	32514
2511	mine	n	32473
2512	opposite	j	32431
2513	awesome	j	32423
2514	switch	v	32414
2515	black	n	32406
2516	iraqi	j	32364
2517	iron	n	32359
2518	perceive	v	32339
2519	fundamental	j	32336
2520	phrase	n	32319
2521	assumption	n	32317
2522	sand	n	32307
2523	designer	n	32303
2524	planning	n	32282
2525	leading	j	32280
2526	mode	n	32229
2527	track	v	32224
2528	respect	v	32224
2529	widely	r	32221
2530	occasion	n	32220
2531	pose	v	32193
2532	approximately	r	32193
2533	retire	v	32169
2534	elsewhere	r	32165
2535	festival	n	32159
2536	cap	n	32115
2537	secure	v	32084
2538	attach	v	32064
2539	mechanism	n	32060
2540	intention	n	32022
2541	scenario	n	32007
2542	yell	v	32005
2543	incredible	j	31983
2544	spanish	j	31958
2545	strongly	r	31943
2546	racial	j	31893
2547	transportation	n	31888
2548	pot	n	31864
2549	boyfriend	n	31817
2550	consideration	n	31756
2551	prior	i	31754
2552	retirement	n	31749
2553	rarely	r	31748
2554	joint	j	31738
2555	doubt	v	31736
2556	preserve	v	31701
2557	enormous	j	31697
2558	cigarette	n	31674
2559	factory	n	31626
2560	valuable	j	31626
2561	clip	n	31612
2562	electric	j	31583
2563	giant	n	31557
2564	slave	n	31539
2565	submit	v	31515
2566	effectively	r	31505
2567	christian	n	31496
2568	monitor	v	31483
